parameter_set_id,source_config_hash,run_config_hash,weather_hash,status,start_timestamp,end_timestamp,expected_rows,physics_rows,ml_rows,physics_hash,ml_hash,runtime_seconds,validation_status,error
pa1_full_023,ddcc0f1077fc26ec6d378edf40df5228428d3096024022caf2ef66aeaf98506e,1f11c93f7671a5ad297abb47136bde504df92f04503db6ce0d1189d7df521a32,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,385b85072c967d8b9ee6d7184447f12ee05b7845635bcbddbfb75aa122d8fa33,32059fef8ab1bee721cad52d566709da3b37c3718101e2de8b7919e60a43af01,568.1713815000003,PASS,
pa1_v2_replacement_001,2352ec463a60dc856e32eca051d4590d2422cd9372fb8d91a182f5f760061b33,95de28ac9e9714dc91f6941846e51fdcf24b1250e74f77bfe705b6b2fd00c4c3,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,d5550afa9d3fc3e3d368b747db85bcaabbc47e610ba93237b999829cdb5a9581,b1d5aa4822a2ba1a4c8649cda21809b75c75ac5eac4553dfcb2b625321fb3774,635.8772497999998,PASS,
pa1_v2_replacement_002,11995d3bde61cee00bd5ad691da7eecaf254d8a838100f996983bacad7361be2,607d3e337aef2a7a4b7ef6da2adc371e37210458a0d1da243070070713b79a5f,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,2d8a042399479ae013042b11fc70477214bf38f63ba90415de3fa3673f33c754,90b4407b80e7167200398c75720308061f45e1621c3b647812d412e304c605bc,612.8256015000006,PASS,
pa1_v2_replacement_003,4ccf117c96eb6ba37c392fe9492f077c86ca02ad7e39bddf1a3a95755efd1d8e,dd3feff15bae1a609f830dae709d2d5832832ea0bd9db36399c17e7cfea81a1b,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,b17b652d9d25c9056e565388b8c2b158dfb155f9c8f5af174b4fb36dfc1c02eb,d5f4c5760b08893e74d3b935878d1c3bab73b1a364176e115f102d727ada62bb,560.2345865999996,PASS,
pa1_v2_replacement_004,932ec5b4a2a9abcb10845db8ed02fb4daab7e67ef3f611bf92651c0bcab60917,7827de65fe7c35acb63cc78df530305caf15878dc95b0b3a6c80a8960b01f1e0,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,9135243a814bafcdf887b9dea959f31210a6922a990f4f93a0ea86565b199170,056d2c63bc0d3e93c4b2f6e702150cd87a879d6c85858a6594fc6e95a5486b94,571.7733251000027,PASS,
pa1_v2_replacement_005,a74854888373dd88d3998f89b6eeb1f2f73fa641f0e001b90d3cdead4e145983,865481098b29f6bddd1730032f4499f8401e03dd95ce911b8b4439710c4df423,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,6581c2ceabbd175667c59c1d2a42fd4c9bd5bf126206ccdb61b1b9c8a8e09ebd,23272f9bdf710629359d39fefff8e280b486b1d297a4705de4f60a32c5d24df4,556.4201216000001,PASS,
pa1_v2_replacement_006,5c81682e1e577f01d02b52c5ce40d1057edbaad708be5596b95f07c73f1700f8,20905476f3a5b238e666f4e3cb5dd654fa66cf80f96c758445351134abf9c1f8,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,150ade86754be6387c451594bf007706c4efe36e1e247ef42aa4e2a61290dc82,eb08fdcebb27f75d56dd6178efee7c648d8d44c746d909d6636713d01b2b5115,559.885450400001,PASS,
pa1_v2_replacement_007,f0872c0d0e92f763ff3c256b2f560be52aeefefc6fba61c4bae80c70907e464b,2d402b7145db15bad1c570ed528d84d373a4086c6b5afaebb349e093fdbb02e2,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,35df6df699bbcaccc83dfa29650af02a935bd8e5214b76f7645233806601a630,a227285296789cf8a89e6cb4842d637fa42d284f3048245c53e86ce612bebc5a,556.0249039000009,PASS,
pa1_v2_replacement_008,f970bd363f39614d216e1e874a9dbcb4b0c22c40f1c50762cc7ca1db0240cc7e,8378725eefe63e805484ec77ce0104d53c14c7ab15a874641dcc1008b62ec35d,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,0ab78c28e636f047a767f4ace178b023c920940d44eb38743874229dc90ea400,723aa91f265d85eed37b5c174d69f5616c68ed0528549cc27d945026632dc228,648.2362397999968,PASS,
pa1_v2_replacement_009,b4944a56a0d043940590401c6ab3c11da4f8fdd9b607e86082f111e215c1ff4c,1c0fa91e115f497a8e68bb6248a23b2e6678e7c6bec93c215ad34905df00e21f,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,77fde95efc5290217694c62cd4236fce73676efbb054c3b3e07e5a674f40c3b0,a33e0e96742025b4cfc53479604515da5a9cc8d28add26b35a024ba63651d148,651.5665604000023,PASS,
pa1_v2_replacement_010,7c7e89e2f190f4e383fe192cee500033cb55ad2d3200cc62e639aad93c2463d8,64385e17921b218ddc6ab1aeb0991b10b900d0330986fb04e1a6ab01f93f5f86,802410aef51e8fea6096860ed4162a65ff5ae3cb70fdadcffdf5c970e13313a3,COMPLETE,2018-01-01T00:00,2025-12-31T23:00,70128,70128,70128,59c0aab2eaa50ba8aa9485192ba764ebcdc4151fd2b6efcf6e6b3f7ee9a47cff,bc1693b15bd6287892fb4d8fae1e3bb0559e18b5c0e65c7e5fa987defb6093c8,543.2447173000037,PASS,
